category,group,doc_type_code,doc_type_description
Land Records,REAL PROPERTY,DPA/RE/OGMT,DPA/RE/OGMT
Land Records,REAL PROPERTY,D/POOL,D/POOL
Land Records,REAL PROPERTY,DT/MSA/AP/FSOG,DT/MSA/AP/FSOG
Land Records,REAL PROPERTY,E/APUOGL,E/APUOGL
Land Records,REAL PROPERTY,EMD,EASEMENT DEED
Land Records,REAL PROPERTY,ELED,ENHANCED LIFE ESTATE DEED
Land Records,REAL PROPERTY,EOGLA,EOGLA
Land Records,REAL PROPERTY,E/OGWPL,E/OGWPL
Land Records,REAL PROPERTY,EPT/ROGL,EPT/ROGL
Land Records,REAL PROPERTY,EX DEED,EX DEED
Land Records,REAL PROPERTY,EX DEED/VL,EX DEED/VL
Land Records,REAL PROPERTY,EXEC DEED,EXEC DEED
Land Records,REAL PROPERTY,EXECS' DEED,EXECS' DEED
Land Records,REAL PROPERTY,ED,EXECUTOR'S DEED
Land Records,REAL PROPERTY,EDD,EXECUTRIX'S DEED IN DISTRIBUTION
Land Records,REAL PROPERTY,EX MIN DEED,EX MIN DEED
Land Records,REAL PROPERTY,EX/OGL,EX/OGL
Land Records,REAL PROPERTY,EX'S DEED,EX'S DEED
Land Records,REAL PROPERTY,EXT&AMD/OGML,EXT&AMD/OGML
Land Records,REAL PROPERTY,EAOL,EXTENSION & AMENDMEMT OF LEASE
Land Records,REAL PROPERTY,EAL,EXTENSION AND AMENDMENT OF LEASE
Land Records,REAL PROPERTY,EOGL,EXTENSION OIL & GAS LEASE
Land Records,REAL PROPERTY,EOGML,"EXTENSION OIL, GAS & MINERAL LEASE"
Land Records,REAL PROPERTY,EODMA,EXT/OG/DT/MSA/APFS
Land Records,REAL PROPERTY,EXT/OGL,EXT/OGL
Land Records,REAL PROPERTY,EXT/OGML,EXT/OGML
Land Records,REAL PROPERTY,EXT/PTOGL,EXT/PTOGL
Land Records,REAL PROPERTY,FA.OGL,FA.OGL
Land Records,REAL PROPERTY,FA/OGML,FA/OGML
Land Records,REAL PROPERTY,FARM LEASE,FARM LEASE
Land Records,REAL PROPERTY,FSD,FORECLOSURE SALE DEED
Land Records,REAL PROPERTY,F/PR/OGL,F/PR/OGL
Land Records,REAL PROPERTY,F/RELEASE,F/RELEASE
Land Records,REAL PROPERTY,FR/OGL,FR/OGL
Land Records,REAL PROPERTY,FRL,FULL RELEASE OF LIEN
Land Records,REAL PROPERTY,GA/C&BS/OGL,GA/C&BS/OGL
Land Records,REAL PROPERTY,G/AOG&OMINT,G/AOG&OMINT
Land Records,REAL PROPERTY,GAS CONT,GAS CONT
Land Records,REAL PROPERTY,GDN DEED,GDN DEED
Land Records,REAL PROPERTY,GDNS DEED,GDNS DEED
Land Records,REAL PROPERTY,GWD,GENERAL WARRANTY DEED
Land Records,REAL PROPERTY,GWDVL,GENERAL WARRANTY DEED W/VENDORS LIEN
Land Records,REAL PROPERTY,GWGD,GENERAL WARRANTY GIFT DEED
Land Records,REAL PROPERTY,GD,GIFT DEED
Land Records,REAL PROPERTY,GMD,GIFT MINERAL DEED
Land Records,REAL PROPERTY,GIFTWD,GIFT WARRANTY DEED
Land Records,REAL PROPERTY,GRANT DEED,GRANT DEED
Land Records,REAL PROPERTY,GL,GRAZING LEASE
Land Records,REAL PROPERTY,GRAZ LEASE,GRAZ LEASE
Land Records,REAL PROPERTY,GR DEED,GR DEED
Land Records,REAL PROPERTY,GR LEASE,GR LEASE
Land Records,REAL PROPERTY,GRZ LEASE,GRZ LEASE
Land Records,REAL PROPERTY,HEDT,HOME EQUITY DEED OF TRUST
Land Records,REAL PROPERTY,INED,INDEPENDENT EXECUTOR'S DEED
Land Records,REAL PROPERTY,IEMD,INDEPENDENT EXECUTOR'S MINERAL DEED
Land Records,REAL PROPERTY,IND/EX DEED,IND/EX DEED
Land Records,REAL PROPERTY,IN/EX DEED,IN/EX DEED
